roll,mean,std,marginal,s1_prob,s2_prob,s3_ot_remaining,n_s3_ot_total,p1,p5,p10,p25,p50,p75,p90,p95,p99
72,351.0892,83.8362,7.9863,0.289763,0.747993,717.89,737,254.00,269.00,279.00,298.00,330.00,378.00,438.00,523.00,662.00
73,359.2919,85.4344,8.2026,0.293097,0.777240,717.63,737,259.00,274.00,284.00,305.00,338.00,387.00,448.00,535.00,674.00
74,367.6067,86.9575,8.3148,0.296367,0.804483,717.37,737,263.00,280.00,290.00,312.00,347.00,397.00,459.00,545.00,685.00
75,376.0824,88.5355,8.4757,0.299717,0.829863,717.10,737,268.00,285.00,296.00,319.00,355.00,406.00,470.00,555.00,698.00
76,384.7789,90.0519,8.6965,0.302953,0.853070,716.84,737,274.00,291.00,302.00,326.00,364.00,416.00,481.00,565.00,711.00
77,393.6201,91.5731,8.8412,0.306277,0.873830,716.57,737,279.00,297.00,309.00,334.00,374.00,426.00,492.00,576.00,724.00
78,402.5955,92.9869,8.9754,0.309517,0.892627,716.31,737,284.00,303.00,315.00,342.00,383.00,436.00,504.00,587.00,738.00
79,411.7059,94.3572,9.1104,0.312690,0.909913,716.05,737,289.00,309.00,322.00,350.00,392.00,446.00,514.00,598.00,751.00
80,414.8289,96.1681,3.1230,1.000000,0.914893,715.96,737,291.00,311.00,324.00,352.00,395.00,449.00,518.00,606.00,764.00
81,426.7377,99.2652,11.9088,1.000000,0.934740,715.71,737,297.00,318.00,332.00,362.00,406.00,461.00,537.00,629.00,784.00
82,438.0240,102.4608,11.2863,1.000000,0.946863,715.45,737,303.00,325.00,340.00,371.00,417.00,473.00,556.00,650.00,801.00
83,449.3273,105.4738,11.3033,1.000000,0.957277,715.19,737,309.00,332.00,348.00,381.00,427.00,485.00,577.00,669.00,821.00
84,460.7748,108.3800,11.4475,1.000000,0.966133,714.93,737,315.00,339.00,356.00,390.00,437.00,497.00,598.00,688.00,841.00
85,472.2484,111.2293,11.4736,1.000000,0.973343,714.66,737,321.00,347.00,364.00,400.00,448.00,509.00,619.00,706.00,859.00
86,483.7319,113.9101,11.4835,1.000000,0.979303,714.40,737,327.00,355.00,373.00,410.00,458.00,521.00,640.00,722.00,877.00
